name,url,description,test_type,duration,remote_testing_support,job_levels,languages
Java 8 (New),https://www.shl.com/solutions/products/java-8-new/,Comprehensive Java 8 knowledge assessment covering core concepts OOP collections streams and lambda expressions. Suitable for mid to senior level developers.,K,45 minutes,Yes,Mid-level Senior,English
Python 3 Programming,https://www.shl.com/solutions/products/python-3-programming/,Python 3 programming assessment testing knowledge of syntax data structures functions modules and object-oriented programming.,K,40 minutes,Yes,Entry-level Mid-level,English Spanish
JavaScript ES6+,https://www.shl.com/solutions/products/javascript-es6/,Modern JavaScript assessment covering ES6+ features async programming DOM manipulation and common frameworks.,K,50 minutes,Yes,Mid-level Senior,English
Cognitive Ability Test,https://www.shl.com/solutions/products/cognitive-ability/,Measures general cognitive ability including numerical reasoning verbal reasoning and abstract reasoning.,A,30 minutes,Yes,All levels,English Spanish French German
Numerical Reasoning,https://www.shl.com/solutions/products/numerical-reasoning/,Assesses ability to work with numerical data interpret charts and graphs and perform calculations.,A,25 minutes,Yes,All levels,English Spanish French
Verbal Reasoning,https://www.shl.com/solutions/products/verbal-reasoning/,Evaluates ability to understand and analyze written information and draw logical conclusions.,A,30 minutes,Yes,All levels,English Spanish French
C++ Programming,https://www.shl.com/solutions/products/cpp-programming/,C++ programming knowledge test covering syntax pointers memory management and object-oriented concepts.,K,50 minutes,Yes,Mid-level Senior,English
SQL Database Skills,https://www.shl.com/solutions/products/sql-database/,SQL assessment testing database design query writing optimization and data manipulation skills.,K,35 minutes,Yes,Entry-level Mid-level Senior,English
Leadership Assessment,https://www.shl.com/solutions/products/leadership-assessment/,Evaluates leadership competencies including decision-making team management and strategic thinking.,P,45 minutes,Yes,Senior Executive,English Spanish
Personality Inventory,https://www.shl.com/solutions/products/personality-inventory/,Comprehensive personality assessment measuring work style preferences behavioral tendencies and cultural fit.,P,25 minutes,Yes,All levels,English Spanish French German
React Development,https://www.shl.com/solutions/products/react-development/,React framework assessment covering components hooks state management and modern React patterns.,K,45 minutes,Yes,Mid-level Senior,English
Node.js Backend,https://www.shl.com/solutions/products/nodejs-backend/,Node.js backend development test covering Express APIs async programming and server-side JavaScript.,K,40 minutes,Yes,Mid-level Senior,English
Data Analysis Skills,https://www.shl.com/solutions/products/data-analysis/,Data analysis assessment testing statistical knowledge data visualization and analytical thinking.,A,35 minutes,Yes,Entry-level Mid-level,English
Problem Solving,https://www.shl.com/solutions/products/problem-solving/,Evaluates analytical and problem-solving abilities through logical reasoning and critical thinking exercises.,A,30 minutes,Yes,All levels,English Spanish
Communication Skills,https://www.shl.com/solutions/products/communication-skills/,Assesses written and verbal communication effectiveness clarity and professional communication style.,B,20 minutes,Yes,All levels,English
Customer Service Aptitude,https://www.shl.com/solutions/products/customer-service/,Customer service skills assessment measuring empathy problem resolution and service orientation.,B,25 minutes,Yes,Entry-level Mid-level,English Spanish
Teamwork Assessment,https://www.shl.com/solutions/products/teamwork/,Evaluates collaboration skills team dynamics and ability to work effectively in group settings.,B,20 minutes,Yes,All levels,English
DevOps Engineering,https://www.shl.com/solutions/products/devops-engineering/,DevOps assessment covering CI/CD containerization cloud platforms and infrastructure automation.,K,45 minutes,Yes,Mid-level Senior,English
Cybersecurity Fundamentals,https://www.shl.com/solutions/products/cybersecurity/,Cybersecurity knowledge test covering security principles threat detection and best practices.,K,40 minutes,Yes,Mid-level Senior,English
Project Management,https://www.shl.com/solutions/products/project-management/,Project management assessment evaluating planning execution monitoring and stakeholder management skills.,B,35 minutes,Yes,Mid-level Senior Executive,English Spanish
